"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV19516","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV19517","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","septimanifiniscientiae"
"ASV19518","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19519","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"ASV19520","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","pye"
"ASV19521","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"ASV19522","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"ASV19523","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","humilis"
"ASV19524","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae",NA,NA
"ASV19525","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","minutissima"
"ASV19526","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","tenuissimum"
"ASV19527","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","tenuissimum"
"ASV19528","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","cecembensis"
"ASV19529","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19530","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA
"ASV19531","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","rubicola"
"ASV19532","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV19533","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","platani"
"ASV19534","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19535","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19536","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Wickerhamiella","pararugosa"
"ASV19537","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19538","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","racemosus"
"ASV19539","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV19540","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19541","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","furfuraceus"
"ASV19542","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV19543","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV19544","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","tricorpus"
"ASV19545","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","guizhouense"
"ASV19546","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19547","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV19548","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma"
"ASV19549","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"ASV19550","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terricola"
"ASV19551","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","aeria"
"ASV19552","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA
"ASV19553","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"ASV19554","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","furfuraceus"
"ASV19555","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19556","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","cariocanus"
"ASV19557","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","kudriavzevii"
"ASV19558","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19559","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19560","Fungi","Ascomycota","Sordariomycetes","Sordariales","Schizotheciaceae","Lundqvistomyces","tanzaniensis"
"ASV19561","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19562","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","pye"
"ASV19563","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19564","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",NA
"ASV19565","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",NA,NA
"ASV19566","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV19567","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","furfuraceus"
"ASV19568","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","furfuraceus"
"ASV19569","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","curvatum"
"ASV19570","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","laibachii"
"ASV19571","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19572","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV19573","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Enterocarpus","grenotii"
"ASV19574","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Sphaerographium",NA
