Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV191,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV192,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV193,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV194,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV195,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV196,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV197,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV198,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV199,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Botryotrichum,atrogriseum
ASV200,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Lodderomyces,elongisporus
ASV201,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV202,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV203,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV206,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV207,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV208,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV209,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV210,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV211,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,coudertii
ASV212,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV213,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
ASV214,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV215,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV216,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV217,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV218,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV219,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,yunnanensis
ASV220,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,sordidulum
ASV221,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,NA
ASV222,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV223,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,ovatus
ASV224,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,hirsutum
ASV225,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV227,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV228,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV229,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV230,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
ASV231,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,hirsutum
ASV232,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
ASV234,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
